,num_of_nodes,num_of_edges,ratio_node_edge,bi_edge,ratio_bi_edge,min_out_degree,max_out_degree,avg_out_degree,min_in_degree,max_in_degree,avg_in_degree,num_of_odd_out_degree,ratio_of_odd_out_degree,num_of_even_out_degree,ratio_of_even_out_degree,num_of_odd_in_degree,ratio_of_odd_in_degree,num_of_even_in_degree,ratio_of_even_in_degree,num_of_odd_degree,ratio_of_odd_degree,num_of_even_degree,ratio_of_even_degree,out_degree_less_than_3,ratio_out_degree_less_than_3,in_degree_less_than_3,ratio_in_degree_less_than_3,degree_less_than_3,ratio_degree_less_than_3,dfs_1st_back_depth,sum_of_choices_along_path,depth_avg_DFS_backjump,depth_back_to_root,depth_back_to_any,depth_one_path,min_depth_bfs,max_depth_bfs,avg_depth_bfs,min_depth_beam,max_depth_beam,avg_depth_beam,runtime_ham10,runtime_ham2,runtime_ham4,runtime_ham6,runtime_ham8,runtime_ham9,Oracle_value,Oracle_name,DT_ham10_pred,RF_ham10_pred,kNN_ham10_pred,DT_ham2_pred,RF_ham2_pred,kNN_ham2_pred,DT_ham4_pred,RF_ham4_pred,kNN_ham4_pred,DT_ham6_pred,RF_ham6_pred,kNN_ham6_pred,DT_ham8_pred,RF_ham8_pred,kNN_ham8_pred,DT_ham9_pred,RF_ham9_pred,kNN_ham9_pred
0,3996.0,13273.0,0.3011,13232.0,0.9969,2.0,4.0,3.3216,2.0,4.0,3.3216,2659.0,0.6654,1337.0,0.3346,2657.0,0.6649,1339.0,0.3351,80.0,0.02,3916.0,0.98,26.0,0.0065,27.0,0.0068,0.0,0.0,1.0,5.0,842.2222,2.0,2.0,17.0,2.0,1337.0,811.4568,2.0,1337.0,770.2383,38.5,34.783,61.901,16.893,32.844,10.094,10.094,ham9,174.4042580645161,138.6810947200689,92.14527272727273,30.860578947368417,79.44783089418813,152.48362500000002,199.8823636363633,199.9728607936508,199.98953571428572,189.28338461538462,132.58287185931772,193.16862500000002,196.86445108695662,198.29564757422492,199.98552,199.99400000000003,132.416000388485,92.84468965517244
1,4530.0,15029.0,0.3014,14964.0,0.9957,2.0,4.0,3.3177,2.0,4.0,3.3177,3011.0,0.6647,1519.0,0.3353,3013.0,0.6651,1517.0,0.3349,128.0,0.0283,4402.0,0.9717,40.0,0.0088,39.0,0.0086,0.0,0.0,2.0,7.0,879.48,2.0,2.0,11.0,2.0,1516.0,700.8669,2.0,1521.0,638.8083,199.89,199.952,62.617,67.625,72.054,87.41,62.617,ham4,174.4042580645161,138.6810947200689,92.14527272727273,30.860578947368417,79.44783089418813,152.48362500000002,199.8823636363633,199.97763412698413,199.98953571428572,189.28338461538462,132.58287185931772,193.16862500000002,196.86445108695662,198.29564757422492,199.98552,199.99400000000003,132.416000388485,92.84468965517244
2,4704.0,15635.0,0.3009,15596.0,0.9975,2.0,4.0,3.3238,2.0,4.0,3.3238,3121.0,0.6635,1583.0,0.3365,3127.0,0.6648,1577.0,0.3352,74.0,0.0157,4630.0,0.9843,30.0,0.0064,27.0,0.0057,0.0,0.0,2.0,7.0,1047.8571,2.0,2.0,21.0,2.0,1571.0,991.1489,2.0,1739.0,883.1044,121.01899999999999,122.516,69.984,27.857,40.924,46.658,27.857,ham6,174.4042580645161,138.6810947200689,92.14527272727273,30.860578947368417,79.44783089418813,152.48362500000002,199.8823636363633,199.97763412698413,199.98953571428572,189.28338461538462,132.58287185931772,193.16862500000002,196.86445108695662,198.29564757422492,199.98552,199.99400000000003,132.416000388485,92.84468965517244
3,4776.0,15846.0,0.3014,15778.0,0.9957,2.0,4.0,3.3178,2.0,4.0,3.3178,3172.0,0.6642,1604.0,0.3358,3166.0,0.6629,1610.0,0.3371,132.0,0.0276,4644.0,0.9724,43.0,0.009000000000000001,46.0,0.0096,0.0,0.0,4.0,15.0,999.5909,2.0,2.0,23.0,2.0,1595.0,809.9672,2.0,1608.0,535.1716,175.8,170.31799999999998,39.582,48.067,58.981,105.544,39.582,ham4,174.4042580645161,138.6810947200689,92.14527272727273,30.860578947368417,79.44783089418813,152.48362500000002,199.8823636363633,199.97763412698413,199.98953571428572,189.28338461538462,132.58287185931772,193.16862500000002,196.86445108695662,198.29564757422492,199.98552,199.99400000000003,132.416000388485,92.84468965517244
4,4890.0,16248.0,0.301,16202.0,0.9972,1.0,4.0,3.3227,2.0,4.0,3.3227,3246.0,0.6638,1644.0,0.3362,3258.0,0.6663,1632.0,0.3337,88.0,0.018000000000000002,4802.0,0.982,33.0,0.0067,27.0,0.0055,0.0,0.0,1.0,5.0,982.7647,2.0,2.0,23.0,2.0,1635.0,721.3895,2.0,1635.0,674.7719,199.80200000000002,199.922,85.876,46.071000000000005,59.113,51.3,46.071000000000005,ham6,174.4042580645161,138.6810947200689,92.14527272727273,30.860578947368417,79.44783089418813,152.48362500000002,199.8823636363633,199.9728607936508,199.98953571428572,189.28338461538462,132.58287185931772,193.16862500000002,196.86445108695662,198.29564757422492,199.98552,199.99400000000003,132.416000388485,92.84468965517244
5,168.0,610.0,0.2754,600.0,0.9836,2.0,4.0,3.6310000000000002,2.0,4.0,3.6310000000000002,46.0,0.2738,122.0,0.7262,42.0,0.25,126.0,0.75,20.0,0.11900000000000001,148.0,0.8809999999999999,8.0,0.0476,10.0,0.0595,0.0,0.0,1.0,5.0,94.0,2.0,2.0,13.0,11.0,24.0,17.7857,11.0,24.0,17.7857,199.99099999999999,13.045,5.902,4.14,12.671,10.59,4.14,ham6,109.8988783783784,125.91687832260178,130.404,92.0560555555555,80.98046527219229,96.21887500000001,39.62383529411765,36.133977628485766,33.43082142857143,54.93195652173913,42.49646752990641,53.125499999999995,47.608082352941175,47.99171959639125,46.151439999999994,62.60126315789473,61.054075743627024,47.22241379310344
6,168.0,610.0,0.2754,600.0,0.9836,2.0,4.0,3.6310000000000002,1.0,4.0,3.6310000000000002,44.0,0.2619,124.0,0.7381,48.0,0.2857,120.0,0.7143,20.0,0.11900000000000001,148.0,0.8809999999999999,9.0,0.0536,7.0,0.0417,0.0,0.0,2.0,8.0,67.8571,2.0,2.0,13.0,11.0,24.0,17.6429,11.0,24.0,17.6429,199.953,199.993,5.7589999999999995,138.026,11.571,21.075,5.7589999999999995,ham4,109.8988783783784,113.64218692475234,118.35054545454545,92.0560555555555,80.98046527219229,78.94325,39.62383529411765,54.64336793929999,35.07307142857143,54.93195652173913,42.49646752990641,49.340875,47.608082352941175,47.99171959639125,38.74676,62.60126315789473,61.054075743627024,45.947103448275854
7,168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.6189999999999998,2.0,4.0,3.6189999999999998,54.0,0.3214,114.0,0.6786,52.0,0.3095,116.0,0.6905,22.0,0.131,146.0,0.8690000000000001,5.0,0.0298,6.0,0.0357,0.0,0.0,2.0,8.0,82.5,2.0,2.0,3.0,5.0,24.0,16.875,5.0,24.0,16.875,199.993,13.359000000000002,2.254,6.612,28.829,76.689,2.254,ham4,109.8988783783784,104.03039861319387,111.46918181818182,92.0560555555555,80.98046527219229,84.76887500000001,39.62383529411765,28.312103567359337,30.687785714285713,54.93195652173913,42.49646752990641,58.847125,47.608082352941175,47.99171959639125,40.892,62.60126315789473,63.37900151285779,44.7813448275862
8,168.0,608.0,0.2763,596.0,0.9803,1.0,4.0,3.6189999999999998,2.0,4.0,3.6189999999999998,52.0,0.3095,116.0,0.6905,48.0,0.2857,120.0,0.7143,20.0,0.11900000000000001,148.0,0.8809999999999999,6.0,0.0357,8.0,0.0476,0.0,0.0,3.0,11.0,79.0,2.0,2.0,13.0,10.0,24.0,17.1176,10.0,24.0,17.1176,199.99,72.279,3.0989999999999998,166.668,3.2960000000000003,125.325,3.0989999999999998,ham4,109.8988783783784,114.08396787713328,111.46918181818182,92.0560555555555,80.98046527219229,65.20812500000001,39.62383529411765,30.69726527858928,34.246857142857145,54.93195652173913,42.49646752990641,54.559625,47.608082352941175,47.99171959639125,44.78596,62.60126315789473,63.37900151285779,48.010206896551715
9,168.0,608.0,0.2763,596.0,0.9803,2.0,4.0,3.6189999999999998,1.0,4.0,3.6189999999999998,48.0,0.2857,120.0,0.7143,52.0,0.3095,116.0,0.6905,16.0,0.0952,152.0,0.9048,8.0,0.0476,6.0,0.0357,0.0,0.0,3.0,12.0,91.875,2.0,2.0,13.0,6.0,24.0,15.1429,6.0,24.0,15.6,157.98,199.99400000000003,14.769,199.99,32.509,161.394,14.769,ham4,109.8988783783784,125.83323498926845,111.46918181818181,92.0560555555555,80.98046527219229,72.25525,39.62383529411765,31.988339178125386,27.479000000000006,54.93195652173913,42.49646752990641,53.991499999999995,47.608082352941175,47.99171959639125,39.771119999999996,62.60126315789473,61.054075743627024,41.41900000000001
